iter	Passed	Remaining
0	0	691
1	1	611
2	1	572
3	2	541
4	2	529
5	3	520
6	3	528
7	4	524
8	4	529
9	5	531
10	5	528
11	6	529
12	6	530
13	7	531
14	8	531
15	8	533
16	9	539
17	9	539
18	10	538
19	11	541
20	11	537
21	12	537
22	12	537
23	13	533
24	13	529
25	14	526
26	14	524
27	15	523
28	15	523
29	16	520
30	16	517
31	17	516
32	17	515
33	18	513
34	18	512
35	19	511
36	19	510
37	20	509
38	20	507
39	21	506
40	21	504
41	22	503
42	22	503
43	23	503
44	23	501
45	24	502
46	24	500
47	25	500
48	25	501
49	26	501
50	26	501
51	27	500
52	27	498
53	28	498
54	28	498
55	29	497
56	30	497
57	30	497
58	31	496
59	31	495
60	32	493
61	32	493
62	33	492
63	33	492
64	34	490
65	34	491
66	35	491
67	35	492
68	36	493
69	37	493
70	37	493
71	38	494
72	38	494
73	39	494
74	40	494
75	40	494
76	41	495
77	41	495
78	42	495
79	43	495
80	43	494
81	44	494
82	44	491
83	45	491
84	45	491
85	46	491
86	46	492
87	47	491
88	48	491
89	48	491
90	49	490
91	49	491
92	50	491
93	50	490
94	51	490
95	52	490
96	52	491
97	53	491
98	53	491
99	54	491
100	55	491
101	55	491
102	56	491
103	56	490
104	57	490
105	58	490
106	58	491
107	59	490
108	60	490
109	60	490
110	61	489
111	61	489
112	62	489
113	62	488
114	63	488
115	64	488
116	64	487
117	65	487
118	65	487
119	66	487
120	67	489
121	67	488
122	68	487
123	68	486
124	69	485
125	69	484
126	70	482
127	70	480
128	71	479
129	71	478
130	71	477
131	72	476
132	72	475
133	73	473
134	73	472
135	74	472
136	74	471
137	75	470
138	75	469
139	76	468
140	76	467
141	76	465
142	77	464
143	77	462
144	78	461
145	78	460
146	79	459
147	79	458
148	80	458
149	80	457
150	81	456
151	81	455
152	82	454
153	82	454
154	83	454
155	83	453
156	84	452
157	84	451
158	85	450
159	85	449
160	86	448
161	86	447
162	87	446
163	87	446
164	87	445
165	88	444
166	88	443
167	89	442
168	89	441
169	90	440
170	90	439
171	91	439
172	91	438
173	92	437
174	92	436
175	93	435
176	93	434
177	93	433
178	94	433
179	95	433
180	95	432
181	96	432
182	96	431
183	97	430
184	97	430
185	98	429
186	98	429
187	99	428
188	99	428
189	100	427
190	100	426
191	101	426
192	101	425
193	102	424
194	102	423
195	103	423
196	103	422
197	104	421
198	104	420
199	104	419
200	105	418
201	105	418
202	106	417
203	106	416
204	107	415
205	107	415
206	108	414
207	108	413
208	109	413
209	109	412
210	110	412
211	110	411
212	111	410
213	111	409
214	112	409
215	112	408
216	113	408
217	113	408
218	114	407
219	114	407
220	115	406
221	115	406
222	116	405
223	116	404
224	117	404
225	117	403
226	118	402
227	118	401
228	119	401
229	119	400
230	120	399
231	120	398
232	120	398
233	121	397
234	121	396
235	122	396
236	122	395
237	123	394
238	123	393
239	124	393
240	124	392
241	125	391
242	125	391
243	126	390
244	126	389
245	126	389
246	127	388
247	127	387
248	128	387
249	128	386
250	129	385
251	130	386
252	130	385
253	131	384
254	131	384
255	132	383
256	132	382
257	132	382
258	133	381
259	133	380
260	134	380
261	134	379
262	135	378
263	135	378
264	136	377
265	136	376
266	137	376
267	137	375
268	137	374
269	138	374
270	138	373
271	139	372
272	139	372
273	140	371
274	140	370
275	141	370
276	141	369
277	142	368
278	142	368
279	143	367
280	143	367
281	144	367
282	144	366
283	145	366
284	145	366
285	146	365
286	147	365
287	147	365
288	148	364
289	148	363
290	149	363
291	149	362
292	150	362
293	150	361
294	150	360
295	151	360
296	151	359
297	152	358
298	152	358
299	153	357
300	153	357
301	154	356
302	154	355
303	155	355
304	155	354
305	156	353
306	156	353
307	156	352
308	157	351
309	158	351
310	158	351
311	159	350
312	159	350
313	160	350
314	160	349
315	161	349
316	161	348
317	162	348
318	162	347
319	163	347
320	163	346
321	164	345
